Dataset, Clients, Different Init, Alpha, Learning Rate, Iterations, Accuracy;
Cifar, 2, False, 10000, 0.01, 30, 58.4%;
Cifar, 10, False, 0.1, 0.01, 30, 45.05%;
Cifar, 10, False, 10000, 0.01, 30, 38.46%;
Cifar, 10, False, 0.1, 0.01, 30, 18.31%;
Cifar, 20, False, 10000, 0.001, 30, 29.76%;
Femnist, 2, False, 10000, 0.001, 30, 5.19%;
Femnist, 10, False, 0.1, 0.001, 30, 5.19%;
Femnist, 10, False, 10000, 0.001, 30, 7.06%;
Femnist, 10, False, 0.1, 0.001, 30, 5.19%;
Femnist, 20, False, 10000, 0.001, 30, 4.96%;
