Dataset,Approach,Sparsify,Data Uploaded,Goal Accuracy
CIFAR-10,Random,1%,,40
CIFAR-10,Random,10%,27148608,40
CIFAR-10,Random,100%,237554352,40
CIFAR-10,Random,3%,15497440,40
CIFAR-10,Random,30%,71266104,40
CIFAR-10,Random,5%,16590464,40
CIFAR-10,Random,50%,118777176,40
CIFAR-10,Threshold,0 (100%),237554352,40
CIFAR-10,Threshold,0.001 (~24.5%),31429850.24,40
CIFAR-10,Threshold,0.003 (~3.6%),4858941.866,40
CIFAR-10,Threshold,0.005 (~1.2%),1929761.369,40
CIFAR-10,Threshold,0.007 (~0.6%),1228721.636,40
CIFAR-10,Threshold,0.0085 (~0.4%),1198050.281,40
CIFAR-10,Threshold,0.01 (~0.2%),1380470.684,40
CIFAR-10,Top-k,1%,2036016,40
CIFAR-10,Top-k,10%,12443112,40
CIFAR-10,Top-k,100%,237554352,40
CIFAR-10,Top-k,3%,4185440,40
CIFAR-10,Top-k,30%,40723488,40
CIFAR-10,Top-k,5%,6975536,40
CIFAR-10,Top-k,50%,88611544,40
FEMNIST,Random,1%,,40
FEMNIST,Random,10%,3842072,40
FEMNIST,Random,100%,32510544,40
FEMNIST,Random,3%,2216600,40
FEMNIST,Random,30%,8866480,40
FEMNIST,Random,5%,2512056,40
FEMNIST,Random,50%,16255272,40
FEMNIST,Threshold,0 (100%),32510544,40
FEMNIST,Threshold,0.001 (~29.4%),6955355.378,40
FEMNIST,Threshold,0.003 (~5.6%),1318844.445,40
FEMNIST,Threshold,0.005 (~1.9%),551803.3333,40
FEMNIST,Threshold,0.007 (~0.8%),321929.9777,40
FEMNIST,Threshold,0.0085 (~0.5%),291335.4444,40
FEMNIST,Threshold,0.01 (~0.4%),278471.5554,40
FEMNIST,Top-k,1%,325072,40
FEMNIST,Top-k,10%,2364352,40
FEMNIST,Top-k,100%,32510544,40
FEMNIST,Top-k,3%,797976,40
FEMNIST,Top-k,30%,7979832,40
FEMNIST,Top-k,5%,1182144,40
FEMNIST,Top-k,50%,14777520,40
CIFAR-10,Random,1%,,50
CIFAR-10,Random,10%,42985296,50
CIFAR-10,Random,100%,392153216,50
CIFAR-10,Random,3%,,50
CIFAR-10,Random,30%,114252008,50
CIFAR-10,Random,5%,29410368,50
CIFAR-10,Random,50%,197961960,50
CIFAR-10,Threshold,0 (100%),392153216,50
CIFAR-10,Threshold,0.001 (~24.5%),49917997.44,50
CIFAR-10,Threshold,0.003 (~3.6%),9582913.125,50
CIFAR-10,Threshold,0.005 (~1.2%),4318989.73,50
CIFAR-10,Threshold,0.007 (~0.6%),,50
CIFAR-10,Threshold,0.0085 (~0.4%),,50
CIFAR-10,Threshold,0.01 (~0.2%),,50
CIFAR-10,Top-k,1%,4675296,50
CIFAR-10,Top-k,10%,20361456,50
CIFAR-10,Top-k,100%,377070400,50
CIFAR-10,Top-k,3%,8823360,50
CIFAR-10,Top-k,30%,67872480,50
CIFAR-10,Top-k,5%,11877264,50
CIFAR-10,Top-k,50%,135745344,50
FEMNIST,Random,1%,,50
FEMNIST,Random,10%,4137616,50
FEMNIST,Random,100%,35466048,50
FEMNIST,Random,3%,2393928,50
FEMNIST,Random,30%,10639776,50
FEMNIST,Random,5%,2807592,50
FEMNIST,Random,50%,17733024,50
FEMNIST,Threshold,0 (100%),35466048,50
FEMNIST,Threshold,0.001 (~29.4%),7824774.8,50
FEMNIST,Threshold,0.003 (~5.6%),1318844.445,50
FEMNIST,Threshold,0.005 (~1.9%),606983.6666,50
FEMNIST,Threshold,0.007 (~0.8%),346693.8222,50
FEMNIST,Threshold,0.0085 (~0.5%),337335.7777,50
FEMNIST,Threshold,0.01 (~0.4%),289181.9999,50
FEMNIST,Top-k,1%,354624,50
FEMNIST,Top-k,10%,2659896,50
FEMNIST,Top-k,100%,35466048,50
FEMNIST,Top-k,3%,797976,50
FEMNIST,Top-k,30%,8866480,50
FEMNIST,Top-k,5%,1182144,50
FEMNIST,Top-k,50%,16255272,50
CIFAR-10,Random,1%,,60
CIFAR-10,Random,10%,,60
CIFAR-10,Random,100%,,60
CIFAR-10,Random,3%,,60
CIFAR-10,Random,30%,,60
CIFAR-10,Random,5%,,60
CIFAR-10,Random,50%,,60
CIFAR-10,Threshold,0 (100%),,60
CIFAR-10,Threshold,0.001 (~24.5%),99835994.88,60
CIFAR-10,Threshold,0.003 (~3.6%),,60
CIFAR-10,Threshold,0.005 (~1.2%),,60
CIFAR-10,Threshold,0.007 (~0.6%),,60
CIFAR-10,Threshold,0.0085 (~0.4%),,60
CIFAR-10,Threshold,0.01 (~0.2%),,60
CIFAR-10,Top-k,1%,,60
CIFAR-10,Top-k,10%,49395384,60
CIFAR-10,Top-k,100%,,60
CIFAR-10,Top-k,3%,,60
CIFAR-10,Top-k,30%,188911736,60
CIFAR-10,Top-k,5%,,60
CIFAR-10,Top-k,50%,245095760,60
FEMNIST,Random,1%,,60
FEMNIST,Random,10%,4728704,60
FEMNIST,Random,100%,41377056,60
FEMNIST,Random,3%,,60
FEMNIST,Random,30%,11526424,60
FEMNIST,Random,5%,3103128,60
FEMNIST,Random,50%,19210776,60
FEMNIST,Threshold,0 (100%),41377056,60
FEMNIST,Threshold,0.001 (~29.4%),8694194.222,60
FEMNIST,Threshold,0.003 (~5.6%),1648555.556,60
FEMNIST,Threshold,0.005 (~1.9%),662164,60
FEMNIST,Threshold,0.007 (~0.8%),396221.511,60
FEMNIST,Threshold,0.0085 (~0.5%),352669.2221,60
FEMNIST,Threshold,0.01 (~0.4%),310602.8888,60
FEMNIST,Top-k,1%,413728,60
FEMNIST,Top-k,10%,2659896,60
FEMNIST,Top-k,100%,38421552,60
FEMNIST,Top-k,3%,886640,60
FEMNIST,Top-k,30%,8866480,60
FEMNIST,Top-k,5%,1329912,60
FEMNIST,Top-k,50%,17733024,60
CIFAR-10,Random,1%,,70
CIFAR-10,Random,10%,,70
CIFAR-10,Random,100%,,70
CIFAR-10,Random,3%,,70
CIFAR-10,Random,30%,,70
CIFAR-10,Random,5%,,70
CIFAR-10,Random,50%,,70
CIFAR-10,Threshold,0 (100%),,70
CIFAR-10,Threshold,0.001 (~24.5%),,70
CIFAR-10,Threshold,0.003 (~3.6%),,70
